id_anuncio,id_host,nombre_host,cantidad_anuncios_host,cantidad_total_anuncios_host,barrio,latitud,longitud,tipo_alojamiento,capacidad,precio,noches_minimas,noches_maximas,puntuacion_general,puntuacion_ubicacion,puntuacion_valor,licencia,last_scraped,precio_por_persona,tipo_host,tipo_licencia
22463569,4085156,BBarcelona,19,22,la Sagrada Família,41.40765,2.1785,Entire home/apt,8,253.0,2,1125,4.43,4.78,4.52,ESHFTU00000807300089437701000000000000000HUTB-0107352,2025-09-15,31.62,professional,Licensed
22474807,4085156,BBarcelona,19,22,la Sagrada Família,41.40867,2.1782,Entire home/apt,10,333.0,2,1125,4.68,4.64,4.57,ESHFTU00000807300089437700700000000000000HUTB-0107327,2025-09-15,33.3,professional,Licensed
22475001,4085156,BBarcelona,19,22,la Sagrada Família,41.40878,2.17813,Entire home/apt,8,284.0,2,1125,4.2,4.73,3.87,ESHFTU00000807300089437700500000000000000HUTB-0107305,2025-09-15,35.5,professional,Licensed
22475072,4085156,BBarcelona,19,22,la Sagrada Família,41.40852,2.17811,Entire home/apt,8,293.0,2,1125,4.57,4.74,4.54,ESHFTU00000807300089437700200000000000000HUTB-0047895,2025-09-15,36.62,professional,Licensed
22475121,4085156,BBarcelona,19,22,el Camp de l'Arpa del Clot,41.40893,2.18027,Entire home/apt,9,267.0,2,1125,4.44,4.62,4.36,ESHFTU00000807300089437700100000000000000HUTB-0107439,2025-09-15,29.67,professional,Licensed
22477276,2320210,Maria,40,111,la Dreta de l'Eixample,41.39063,2.16485,Entire home/apt,7,359.0,1,1125,4.9,4.93,4.71,ESHFTU00000805600039635500700000000000000HUTB-0101800,2025-09-15,51.29,professional,Licensed
22488537,4064440,En Ville,22,23,el Raval,41.38506,2.16553,Entire home/apt,8,330.0,1,1125,4.82,4.75,4.76,ESHFTU00000805600043309800300000000000HUTB-032920-836,2025-09-15,41.25,professional,Licensed
22515389,3039107,Manuel,38,116,la Barceloneta,41.37952,2.18938,Entire home/apt,4,,31,799,5.0,4.88,4.38,,2025-09-15,,professional,No license
22537657,3465149,Jordi,8,10,la Vila de Gràcia,41.40481,2.15667,Entire home/apt,7,233.0,3,120,4.8,4.73,4.6,HUTB-006824,2025-09-15,33.29,professional,Licensed
22548858,6748687,Joan,1,1,el Raval,41.37834,2.17478,Entire home/apt,4,200.0,3,31,4.82,4.95,4.75,HUTB-000941,2025-09-15,50.0,individual,Licensed
22556484,5614931,Fisa Rentals,43,45,la Dreta de l'Eixample,41.39251,2.16313,Entire home/apt,4,362.0,3,1125,4.7,4.96,4.56,HUTB-003302,2025-09-15,90.5,professional,Licensed
22595319,21569423,Paul,1,1,Provençals del Poblenou,41.40716,2.2003,Entire home/apt,4,207.0,7,35,5.0,4.91,4.7,ESFCTU00000807200076000200000000000000000HUTB-0129453,2025-09-15,51.75,individual,Licensed
22604862,8843962,Eduard,3,6,la Dreta de l'Eixample,41.39044,2.17448,Entire home/apt,5,203.0,3,1124,4.84,4.95,4.71,HUTB-009960,2025-09-15,40.6,professional,Licensed
22608577,78326216,Tania,10,12,el Baix Guinardó,41.41299,2.16448,Private room,4,60.0,2,330,4.55,4.74,4.45,,2025-09-14,15.0,professional,No license
22629847,160690738,Juan Jose,5,5,el Raval,41.38225,2.16823,Private room,1,40.0,31,360,4.82,4.97,4.74,Exempt,2025-09-15,40.0,professional,Exempt
22665692,771458,Rita,14,24,"Sant Pere, Santa Caterina i la Ribera",41.38863,2.18389,Private room,1,22.0,32,180,4.74,4.95,4.77,,2025-09-15,22.0,professional,No license
22710675,54883260,Alejandro,2,6,Sant Antoni,41.38098,2.15984,Private room,1,51.0,31,1125,4.46,4.91,4.51,Exempt,2025-09-15,51.0,professional,Exempt
22710837,54883260,Alejandro,2,6,la Dreta de l'Eixample,41.39691,2.1735,Private room,1,45.0,31,1125,,,,,2025-09-15,45.0,professional,No license
22729222,9477063,Xavier,11,21,el Poble Sec,41.37222,2.16037,Entire home/apt,5,124.0,32,499,4.41,4.67,4.38,Exempt,2025-09-15,24.8,professional,Exempt
22732409,167804364,Rosa,1,1,"Sant Pere, Santa Caterina i la Ribera",41.38271,2.18447,Private room,1,51.0,2,150,4.38,4.92,4.3,Exempt,2025-09-15,51.0,individual,Exempt
22739717,69815537,Fortuny,4,12,el Raval,41.38268,2.17096,Entire home/apt,2,162.0,31,1125,4.89,4.72,4.61,Exempt,2025-09-15,81.0,professional,Exempt
22767740,168172986,Natalia,10,10,el Poblenou,41.39752,2.20393,Entire home/apt,3,218.0,2,365,4.9,4.87,4.74,ESFCTU000008072000759181000000000000000HUTB-011512134,2025-09-15,72.67,professional,Licensed
22770282,20612813,Carlos,1,1,la Nova Esquerra de l'Eixample,41.38118,2.15229,Private room,1,35.0,60,65,,,,,2025-09-14,35.0,individual,No license
22772084,6057270,Alex,16,17,el Camp de l'Arpa del Clot,41.40833,2.18281,Entire home/apt,4,144.0,3,30,4.72,4.75,4.5,HUTB-001400,2025-09-14,36.0,professional,Licensed
22804795,148946579,Barnapartments,23,25,la Salut,41.41213,2.15671,Entire home/apt,4,68.0,31,250,4.63,4.38,4.63,,2025-09-14,17.0,professional,No license
22805735,148946579,Barnapartments,23,25,la Dreta de l'Eixample,41.39091,2.16296,Entire home/apt,4,180.0,2,180,4.57,4.95,4.33,ESFCTU00000805600032422800000000000000000HUTB-0082442,2025-09-15,45.0,professional,Licensed
22807948,168552303,Tania,1,1,"Sant Pere, Santa Caterina i la Ribera",41.38889,2.17397,Entire home/apt,5,147.0,32,200,4.81,4.85,4.74,,2025-09-15,29.4,individual,No license
22836980,2688205,Mònica,13,13,la Vila de Gràcia,41.39888,2.16226,Entire home/apt,2,62.0,32,1125,4.75,4.88,4.46,Exempt,2025-09-15,31.0,professional,Exempt
22838124,122893446,Yanina,1,2,el Poble Sec,41.37157,2.16573,Entire home/apt,7,82.0,31,1125,4.39,4.57,4.35,,2025-09-15,11.71,professional,No license
22863701,771458,Rita,14,24,la Dreta de l'Eixample,41.39283,2.17633,Private room,1,20.0,32,365,3.5,4.5,3.5,,2025-09-15,20.0,professional,No license
22878815,8130906,Eva,60,66,la Dreta de l'Eixample,41.39647,2.17171,Entire home/apt,8,376.0,2,1125,4.67,4.86,4.51,HUTB-004896,2025-09-15,47.0,professional,Licensed
22881017,2748428,Sha,8,13,el Poblenou,41.40161,2.20313,Entire home/apt,5,157.0,4,62,4.55,4.86,4.45,HUTB-001120,2025-09-15,31.4,professional,Licensed
22919144,4459553,AB Apartment Barcelona,232,275,el Poble Sec,41.37201,2.16341,Entire home/apt,3,182.0,1,1125,4.58,4.76,4.43,HUTB-008179,2025-09-15,60.67,professional,Licensed
22937214,771458,Rita,14,24,la Dreta de l'Eixample,41.39382,2.17688,Private room,1,36.0,32,365,4.09,5.0,4.18,,2025-09-15,36.0,professional,No license
